region,total_tCO2e,year,scope,country,group,group_label,population,per_capita_tCO2e,share_of_scope_total_percent
IE,12451702.15311193,2022,old_scope_including_fish,Ireland,GN,Global North,5212836.0,2.388661786619017,0.5066229012319394
IN,211502158.47260985,2022,old_scope_including_fish,India,GS,Global South (ex-China),1425423212.0,0.1483785002882427,8.605396742117835
IT,27333112.00616967,2022,old_scope_including_fish,Italy,GN,Global North,59013667.0,0.4631657952414594,1.1121034163833132
JP,50451634.10475566,2022,old_scope_including_fish,Japan,GN,Global North,125124989.0,0.40320989842209426,2.0527276454051413
KR,41771849.7587281,2022,old_scope_including_fish,"Korea, Rep.",GN,Global North,51672569.0,0.8083950646759619,1.6995729141579707
LT,3439169.6117409547,2022,old_scope_including_fish,Lithuania,GN,Global North,2831639.0,1.2145508702701702,0.1399296309134309
LU,643147.9825764085,2022,old_scope_including_fish,Luxembourg,GN,Global North,653103.0,0.984757354623097,0.02616778757215106
LV,1739115.8681183371,2022,old_scope_including_fish,Latvia,GN,Global North,1879383.0,0.9253653290033682,0.07075947656396651
MT,328195.37809423794,2022,old_scope_including_fish,Malta,GN,Global North,531113.0,0.6179388907713386,0.013353298414663862
MX,40512928.8838259,2022,old_scope_including_fish,Mexico,GS,Global South (ex-China),128613117.0,0.31499842184701815,1.6483511504005548
NL,13080745.741945194,2022,old_scope_including_fish,Netherlands,GN,Global North,17700982.0,0.7389841841512066,0.5322168227743378
NO,6449643.131673419,2022,old_scope_including_fish,Norway,GN,Global North,5457127.0,1.1818752123000653,0.2624168868721628
PL,28012298.978296224,2022,old_scope_including_fish,Poland,GN,Global North,36821749.0,0.7607541667370614,1.1397375237580787
PT,7083689.074528593,2022,old_scope_including_fish,Portugal,GN,Global North,10434332.0,0.678882852733514,0.28821433939180474
RO,14438965.388806941,2022,old_scope_including_fish,Romania,GN,Global North,19048502.0,0.7580105453335355,0.5874787596197633
RU,76954470.1207453,2022,old_scope_including_fish,Russian Federation,GS,Global South (ex-China),144236933.0,0.5335281922608913,3.1310495895209773
SE,9393120.50000223,2022,old_scope_including_fish,Sweden,GN,Global North,10486941.0,0.8956968957870775,0.38217826774334007
SI,1055311.1177774684,2022,old_scope_including_fish,Slovenia,GN,Global North,2112076.0,0.4996558446653759,0.04293748546315201
SK,1990705.8762101748,2022,old_scope_including_fish,Slovak Republic,GN,Global North,5431752.0,0.36649425014436865,0.08099592923952291
TW,20734143.454599813,2022,old_scope_including_fish,"Taiwan, China",GN,Global North,23264000.0,0.8912544469824542,0.8436109202068671
US,336992799.38420165,2022,old_scope_including_fish,United States,GN,Global North,334017321.0,1.0089081559462052,13.711239444932335
ZA,9454003.698684838,2022,old_scope_including_fish,South Africa,GS,Global South (ex-China),62378410.0,0.1515589079408218,0.3846554248720267
