Producer country,Year,Commodity,Consumer country,Deforestation emissions incl. peat drainage (MtCO2),Producer country original,Consumer country original,Producer country clean,Consumer country clean,producer_group_optional,consumer_group_optional,Commodity_std,is_feed_crop,is_pasture,LUC_MtCO2_total_commodity,Area_clean,FeedShare_country,FeedShare_global_year,FeedShare_global_crop,feed_share_source,FeedShare_used,component,LUC_livestock_MtCO2,flow_type
Brazil,2018,Sorghum,Brazil,0.982969173112768,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sorghum,True,False,0.982969173112768,Brazil,0.9743631042437055,0.3760663679729491,0.38417324847729667,consumer_country_crop_year,0.9743631042437055,Feed,0.957768894890025,Domestic consumption
Brazil,2019,Sorghum,Brazil,1.35562666429882,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sorghum,True,False,1.35562666429882,Brazil,0.9688221065270035,0.38716513436694505,0.38417324847729667,consumer_country_crop_year,0.9688221065270035,Feed,1.3133610805701579,Domestic consumption
Brazil,2020,Sorghum,Brazil,2.02357730598267,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sorghum,True,False,2.02357730598267,Brazil,0.9692737248459409,0.3777070040827383,0.38417324847729667,consumer_country_crop_year,0.9692737248459409,Feed,1.9614003128835367,Domestic consumption
Brazil,2021,Sorghum,Brazil,2.63272821659554,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sorghum,True,False,2.63272821659554,Brazil,0.9646274400474869,0.3984154501904076,0.38417324847729667,consumer_country_crop_year,0.9646274400474869,Feed,2.5396018799153413,Domestic consumption
Brazil,2022,Sorghum,Brazil,6.9490372842919,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sorghum,True,False,6.9490372842919,Brazil,0.9630422209462105,0.38019147444790147,0.38417324847729667,consumer_country_crop_year,0.9630422209462105,Feed,6.692216299702494,Domestic consumption
Brazil,2018,Soya beans,Brazil,10.1108215319696,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Soybeans,True,False,10.1108215319696,Brazil,0.39588219987112555,0.8203113409220573,0.8313926305185808,consumer_country_crop_year,0.39588219987112555,Feed,4.002694270580469,Domestic consumption
Brazil,2019,Soya beans,Brazil,11.2668030521288,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Soybeans,True,False,11.2668030521288,Brazil,0.35439840774513737,0.8377537155558809,0.8313926305185808,consumer_country_crop_year,0.35439840774513737,Feed,3.992937062052501,Domestic consumption
Brazil,2020,Soya beans,Brazil,11.9416525811348,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Soybeans,True,False,11.9416525811348,Brazil,0.5377387182277916,0.8236465318530652,0.8313926305185808,consumer_country_crop_year,0.5377387182277916,Feed,6.421488952501027,Domestic consumption
Brazil,2021,Soya beans,Brazil,10.5024895323573,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Soybeans,True,False,10.5024895323573,Brazil,0.30471815866581625,0.8344722420202483,0.8313926305185808,consumer_country_crop_year,0.30471815866581625,Feed,3.200299271706926,Domestic consumption
Brazil,2022,Soya beans,Brazil,9.30953475510189,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Soybeans,True,False,9.30953475510189,Brazil,0.33482326819100056,0.8408413364012541,0.8313926305185808,consumer_country_crop_year,0.33482326819100056,Feed,3.1170488520409205,Domestic consumption
