Consumer country clean,Commodity_std,component,LUC_livestock_MtCO2,share_of_brazil_production_percent
Germany,Sorghum,Feed,0.07044562455123368,0.0015992156442733254
South Africa,Maize,Feed,0.06738994126106215,0.0015298472973714835
Slovakia,Soybeans,Feed,0.0656558416279322,0.00149048077489835
Japan,Sorghum,Feed,0.06376657319012378,0.0014475917003643074
Norway,Maize,Feed,0.061867969852313805,0.0014044907103533942
Bulgaria,Soybeans,Feed,0.05860722251487155,0.0013304671185791776
Indonesia,Maize,Feed,0.05848704559359277,0.001327738931927218
Republic of Korea,Sorghum,Feed,0.05559308368077377,0.0012620418897845169
Latvia,RUMINANT_MEAT,Pasture,0.05276520785644571,0.0011978450956310529
Croatia,Soybeans,Feed,0.0525037982592776,0.001191910726817978
Cyprus,RUMINANT_MEAT,Pasture,0.05196069815622234,0.0011795815837839666
Turkey,Sorghum,Feed,0.04890098997662222,0.0011101218661805135
Denmark,Maize,Feed,0.047873440778022004,0.0010867950412126
Spain,Sorghum,Feed,0.04674613488093393,0.0010612035976277157
Greece,Maize,Feed,0.04665314326418173,0.0010590925559662394
Romania,Maize,Feed,0.04288783700664835,0.0009736147607037629
Italy,Sorghum,Feed,0.040385770753461794,0.0009168143061603557
RoW Middle East,Sunflower seed,Feed,0.0399933348243716,0.000907905453677693
Czechia,Maize,Feed,0.03970432209141969,0.0009013444545116664
Russia,Sorghum,Feed,0.039092781356186,0.0008874616120054597
Brazil,Barley,Feed,0.03688616017052011,0.0008373681797506947
Lithuania,Soybeans,Feed,0.0358732168878637,0.0008143729298014579
RoW Asia and Pacific,Sunflower seed,Feed,0.03548933110428515,0.0008056581777551266
Austria,Maize,Feed,0.03483174244042579,0.0007907299819240875
France,Sorghum,Feed,0.03335153932540166,0.0007571272707077634
UK and RoW Europe,Sorghum,Feed,0.030383682585268294,0.0006897527111234209
Canada,Sorghum,Feed,0.02681513651967188,0.0006087416514335276
RoW America,Sunflower seed,Feed,0.025812276805286236,0.0005859753127932817
Netherlands,Sorghum,Feed,0.02519490210116206,0.0005719600309144769
Estonia,Soybeans,Feed,0.02436055276206528,0.0005530191169205599
India,Sunflower seed,Feed,0.02412951332276491,0.000547774193788328
Hungary,Maize,Feed,0.022086060264546584,0.0005013849095728942
Taiwan,Sorghum,Feed,0.020558940168500756,0.0004667171163091052
Latvia,Soybeans,Feed,0.02045385042886655,0.00046433143009017746
Germany,Sunflower seed,Feed,0.01877496375594155,0.0004262183201645074
RoW Middle East,Barley,Feed,0.018081315192963632,0.00041047151345211566
Indonesia,Sorghum,Feed,0.015736844649299565,0.00035724870515351414
Cyprus,Soybeans,Feed,0.01424848868749503,0.00032346091274585066
RoW America,Barley,Feed,0.013707537118743014,0.00031118054448943394
France,Sunflower seed,Feed,0.013285065728397358,0.0003015898444139834
Poland,Sorghum,Feed,0.013079236716404034,0.00029691723375687085
Republic of Korea,Sunflower seed,Feed,0.012737075227732934,0.0002891496824144491
RoW Asia and Pacific,Barley,Feed,0.012224476920135372,0.0002775129734213752
Croatia,Maize,Feed,0.01174370451943528,0.00026659875767792246
Portugal,Sorghum,Feed,0.01136371379672141,0.0002579724290405663
Malta,Soybeans,Feed,0.01120931631342487,0.0002544673870695823
United States,Sunflower seed,Feed,0.010459794126725777,0.00023745216981038415
RoW Africa,Sunflower seed,Feed,0.010413058423367512,0.00023639120302312405
Luxembourg,Sorghum,Feed,0.009876689725173677,0.00022421487243177185
México,Sorghum,Feed,0.009810174115541519,0.0002227048737031104
Ireland,Sorghum,Feed,0.009779852211149404,0.00022201652344463888
Sweden,Maize,Feed,0.00940591529665192,0.0002135276248445455
Switzerland,Sorghum,Feed,0.00937234317598714,0.00021276549006441444
Australia,Sorghum,Feed,0.009304092217727631,0.0002112160964593386
Slovakia,Maize,Feed,0.009176560208051104,0.00020832093886339755
Lithuania,Maize,Feed,0.008774935532887032,0.0001992034888054247
Japan,Sunflower seed,Feed,0.00836549275714009,0.0001899085567698234
Austria,Sorghum,Feed,0.007670372222650327,0.00017412833421528865
Spain,Sunflower seed,Feed,0.007239429134894325,0.00016434531458672916
Malta,Maize,Feed,0.007081619414588326,0.00016076280999344236
Slovenia,Maize,Feed,0.007031435325405436,0.00015962355995447768
Taiwan,Sunflower seed,Feed,0.006965837130303463,0.0001581343878375228
UK and RoW Europe,Sunflower seed,Feed,0.006856380416728633,0.00015564956511312058
Indonesia,Sunflower seed,Feed,0.0067777256103384986,0.0001538639893917369
Italy,Sunflower seed,Feed,0.006355657858715032,0.00014428245248806988
Norway,Sorghum,Feed,0.006206115425661421,0.00014088762704723499
Sweden,Sorghum,Feed,0.005993352326281056,0.00013605760276651194
