Consumer country,Producer country,LUC_livestock_MtCO2
RoW Africa,Guinea,15.203756081621764
China,Indonesia,14.516616646483534
China,Bolivia,14.306948610915013
Canada,Canada,13.896280638787715
RoW Africa,Kenya,13.892961782413364
Republic of Korea,Brazil,13.890217277744105
Spain,Brazil,13.83262705112213
RoW Asia and Pacific,Philippines,13.782029886640586
RoW Africa,Republic of the Congo,12.593144722443265
United States,Colombia,12.4694675799195
India,Brazil,11.814129688006517
France,Brazil,11.585006588864228
China,Myanmar,10.940921362756077
China,Colombia,10.645381434417462
RoW Asia and Pacific,Papua New Guinea,10.437312580527358
United States,Paraguay,9.928765606407618
China,Paraguay,9.520826984606312
China,Argentina,8.97619587840427
RoW America,Cuba,8.559628093662164
Netherlands,Brazil,8.493027155151927
Russia,Brazil,7.527716552946034
United States,Myanmar,7.4839953384560225
Indonesia,Brazil,7.395702303519142
RoW Africa,Malawi,7.314186886637259
RoW Middle East,Bolivia,7.180847961421966
RoW Africa,Chad,6.763607696157825
México,Brazil,6.695770454078813
Australia,Australia,6.491283387121509
RoW Africa,Uganda,6.4110599931638275
United States,Peru,6.1968108633972765
China,Cambodia,6.099402051155419
United States,Indonesia,6.037191685769702
Turkey,Brazil,6.0085754476005775
France,DR Congo,6.004884464738026
Belgium,Brazil,5.839741547952972
Russia,Paraguay,5.6419372656929
Canada,Brazil,5.344354189993045
RoW Asia and Pacific,Bolivia,5.259193779986759
Brazil,Bolivia,5.2562016543262775
China,Peru,5.216099762734546
India,Indonesia,5.180252140046694
RoW Middle East,Indonesia,5.136621923623237
RoW Middle East,India,4.847188881576448
Norway,Norway,4.77093094633513
RoW Africa,Bolivia,4.48095677929922
RoW Asia and Pacific,India,4.267305924243812
Brazil,Paraguay,4.262879474526365
Australia,Brazil,4.199328606932233
Japan,Myanmar,4.144973170744175
United States,Argentina,4.134889412509693
RoW Africa,Cote d'Ivoire,4.03664997214018
RoW Africa,Indonesia,4.034065835918535
United States,DR Congo,3.882370954794441
China,Laos,3.786148877315658
India,Bolivia,3.6487878931188593
RoW Africa,Argentina,3.5828388838283853
RoW Middle East,Argentina,3.581666044851631
France,France,3.4829124933394553
RoW Middle East,Paraguay,3.4363274438601286
Portugal,Brazil,3.428587589074243
Brazil,Colombia,3.3819200114834684
Germany,Bolivia,3.3491125192233686
RoW Africa,Ethiopia,3.3454357175046843
RoW America,México,3.3169631482956006
France,Angola,3.3148750458242793
China,United States,3.211332000020473
China,DR Congo,3.1754156726154763
RoW America,Panama,3.1638697538102964
China,Malaysia,3.1506827498703203
RoW Asia and Pacific,Argentina,3.131847503470739
RoW Middle East,DR Congo,3.1148444639380672
United States,Cambodia,3.0969676500630476
United States,Canada,3.092390164029513
China,Vietnam,3.011053466237674
RoW Africa,Paraguay,3.0021770300467145
RoW Asia and Pacific,Paraguay,2.83019452074588
RoW Africa,Sudan and South Sudan,2.8170832995568853
Australia,Myanmar,2.757211378529417
RoW Middle East,Colombia,2.7080686189363505
RoW Asia and Pacific,Colombia,2.6948231719968483
Russia,Bolivia,2.643683590643228
UK and RoW Europe,Bolivia,2.6228620588189218
Poland,Brazil,2.552961771667793
Italy,DR Congo,2.551910830850369
Spain,Bolivia,2.5404585628384786
China,Thailand,2.5054407485970884
United States,Laos,2.436481830704789
Japan,Indonesia,2.4361918294077243
Hungary,Brazil,2.41485195834221
China,Philippines,2.403834751985079
Sweden,Brazil,2.3504160434157924
United States,Honduras,2.3394537064367835
Germany,Myanmar,2.250271522961515
Spain,DR Congo,2.249304324518894
Germany,DR Congo,2.242979982075143
UK and RoW Europe,DR Congo,2.2266543251266198
United States,Angola,2.202425437865492
India,Myanmar,2.190364587230209
United States,Malaysia,2.148302334021388
United States,Vietnam,2.0770740050299428
Ireland,Brazil,2.0596627143698156
Italy,Bolivia,2.0505982189303933
Switzerland,Brazil,2.0343864738097155
Japan,Cambodia,2.030050089667059
Japan,Bolivia,1.9924116294826644
China,India,1.9809331570786333
United States,India,1.9680238924831706
China,Honduras,1.9604031819856655
RoW Middle East,Myanmar,1.9581532425247135
South Africa,Brazil,1.9580113282445109
México,Bolivia,1.955824156977697
RoW Africa,Zimbabwe,1.9542891262232294
United States,Venezuela,1.8801939128875564
France,Bolivia,1.8776601444517256
Germany,Indonesia,1.872449733694394
Republic of Korea,Argentina,1.8652839060725388
China,Russia,1.8626969627612477
UK and RoW Europe,Myanmar,1.8413654765831677
France,Nigeria,1.825510665309245
RoW Africa,Guinea-Bissau,1.804969905234758
RoW Asia and Pacific,DR Congo,1.8003908304685363
Brazil,Peru,1.797829739533565
RoW Asia and Pacific,Russia,1.7635123169800668
RoW Africa,South Africa,1.7590161804158693
Turkey,Turkey,1.7587241673893674
Austria,Brazil,1.7564617813544292
China,Angola,1.7454802274620613
United States,Nicaragua,1.7115940797932006
China,Venezuela,1.7061509681270335
Republic of Korea,Bolivia,1.6885618926492445
Indonesia,Myanmar,1.6778918246738441
UK and RoW Europe,Russia,1.645877440882949
Russia,Colombia,1.6421893442377722
Norway,Brazil,1.6257687329025945
Germany,Colombia,1.6024077635398164
Republic of Korea,Indonesia,1.5789141951297359
Spain,Spain,1.5654977018666116
Germany,Paraguay,1.5454472676800357
Germany,Germany,1.5376007412166592
China,Canada,1.5319245129553472
France,Ghana,1.5295736697049347
UK and RoW Europe,Paraguay,1.5061437906519684
China,Papua New Guinea,1.4959102483870554
RoW Middle East,Angola,1.4935959337524303
RoW Africa,Equatorial Guinea,1.46655380736544
RoW America,United States,1.464424784682108
México,United States,1.4391726221017198
India,DR Congo,1.4171638553729315
RoW Africa,Colombia,1.4148365896293036
China,Australia,1.4084844969420598
India,Paraguay,1.4070085603814892
Republic of Korea,Myanmar,1.406513631558759
France,Mozambique,1.3979220225321
RoW Asia and Pacific,Peru,1.3945987592347866
Italy,Angola,1.3931384417240014
UK and RoW Europe,Ukraine,1.3909574847603776
France,Zambia,1.3891317347822834
Canada,Bolivia,1.385794175645245
Russia,Myanmar,1.384046327755958
UK and RoW Europe,Colombia,1.3716104719239204
Japan,Laos,1.3650449163100271
RoW America,Costa Rica,1.3636234907465066
United States,Thailand,1.3631938192506716
India,Argentina,1.3574728172614938
RoW America,Uruguay,1.3396493884486242
RoW Middle East,Peru,1.3324772559748923
RoW Middle East,Cambodia,1.3307965127582821
Taiwan,Bolivia,1.3303469723456072
Indonesia,India,1.3235548901979954
United States,Guatemala,1.3185471798606125
RoW America,Suriname,1.3148893537795059
Spain,Indonesia,1.314538550604795
Brazil,Argentina,1.30080216720141
United States,Nigeria,1.2914727933345427
Turkey,Bolivia,1.2870720518401366
UK and RoW Europe,Angola,1.2758244763755187
China,Zambia,1.2535873647196338
Japan,Colombia,1.2451937554743078
India,Colombia,1.241810680531901
Japan,Paraguay,1.2378545132549328
United States,Philippines,1.2366787525275993
México,Colombia,1.2350121809387389
Australia,Cambodia,1.2259197280385503
Germany,Angola,1.207088277122937
RoW Asia and Pacific,Australia,1.2057618219515953
UK and RoW Europe,Indonesia,1.205498026555518
Japan,Malaysia,1.200759007876759
RoW America,Belize,1.1992767843346341
Spain,Angola,1.1934517819135027
Netherlands,Bolivia,1.1709672289105344
Canada,México,1.1675774576861424
China,Nigeria,1.1642728049447144
RoW America,Indonesia,1.16320538576648
RoW America,Myanmar,1.1465572849959025
Japan,Vietnam,1.1457443231691928
RoW Asia and Pacific,China,1.1455168358404502
Japan,United States,1.1429169106730857
Germany,Argentina,1.1322544541174029
Japan,Argentina,1.1198263012135445
Sweden,Sweden,1.1172472504329487
China,Guatemala,1.1158381288907098
Russia,Indonesia,1.0938249718382314
Canada,United States,1.0922781045193597
China,México,1.0865730955004973
Spain,Colombia,1.080171239576714
Romania,Brazil,1.0789211465333852
Indonesia,Bolivia,1.0723366997659205
Spain,Paraguay,1.0715749541343975
France,Madagascar,1.065874417039026
Russia,Argentina,1.0560379777085014
México,Paraguay,1.0494563234737713
United States,Zambia,1.0295514835163653
Republic of Korea,Paraguay,1.0284362224372248
RoW Middle East,South Africa,1.0259533353669823
United States,Papua New Guinea,1.0258327039540556
United States,Ghana,1.0158536131049947
RoW Africa,India,1.0121994261258016
RoW Asia and Pacific,United States,1.0102222886496826
Italy,Paraguay,1.0101001969651662
Germany,Cambodia,1.0098960800527512
Italy,Colombia,1.0088948854711777
France,Colombia,1.0066660436172492
Taiwan,Indonesia,0.9978196603291472
RoW Africa,Sierra Leone,0.9842604459760191
Netherlands,DR Congo,0.982931545479936
Italy,Indonesia,0.9800349960210852
RoW Asia and Pacific,Angola,0.9780570812979213
France,Myanmar,0.9750312794012016
United States,Ecuador,0.9707829174145042
UK and RoW Europe,Argentina,0.9684211317839846
France,Paraguay,0.9566813636856082
RoW Middle East,Ghana,0.9475553570353137
United States,Mozambique,0.9453487697268208
Belgium,Bolivia,0.9391455084971478
Czechia,Brazil,0.932543293389706
Japan,México,0.9294762306218819
United States,China,0.9244780281333455
Finland,Finland,0.9243116523119763
Poland,Bolivia,0.923563362296355
Japan,Thailand,0.9192773013747582
Greece,Brazil,0.9169524936515329
Denmark,Brazil,0.9135100340117006
Australia,Indonesia,0.9052003108158022
Luxembourg,Brazil,0.8922122267388461
RoW Africa,Myanmar,0.8851593337386205
China,Uruguay,0.8730081704962779
China,Ghana,0.8610835682599677
RoW Africa,Benin,0.8488392453575394
Australia,Bolivia,0.8487179250728115
RoW Middle East,Russia,0.8445284611627475
China,Nicaragua,0.8437669940112204
Ireland,Bolivia,0.8401266027611954
Australia,Laos,0.8366636868898314
Belgium,DR Congo,0.8341384217624386
Japan,Canada,0.830424637773179
India,Angola,0.8256979965719367
Japan,Philippines,0.8235098863264949
RoW Middle East,Nigeria,0.8233881271568076
Italy,Nigeria,0.8230742798700039
RoW Middle East,Zambia,0.8222122393331219
Russia,Peru,0.816582269561315
United States,Russia,0.8134299194859391
Spain,Argentina,0.8127610913367188
RoW Asia and Pacific,North Korea,0.8099699272766475
Canada,Colombia,0.8078984360236448
Germany,Peru,0.8063344624999826
Netherlands,Myanmar,0.8060502237296505
Republic of Korea,Cambodia,0.8059301363387749
China,Ecuador,0.8035720550409762
Japan,Australia,0.7988089559286453
India,Cambodia,0.7864856104489752
Republic of Korea,United States,0.7832527199860124
Belgium,Myanmar,0.7820105381375567
China,Mozambique,0.7798532287111497
Taiwan,Paraguay,0.7795102313384887
UK and RoW Europe,Cambodia,0.7753123136039096
Russia,DR Congo,0.7749157504074644
Netherlands,Colombia,0.7733286899026224
France,Indonesia,0.7722912471714138
Taiwan,Colombia,0.7721366106493943
Finland,Brazil,0.770791694564447
China,South Africa,0.764016506733992
India,Laos,0.7631769774097827
France,Tanzania,0.7610923578084797
RoW Middle East,United States,0.7515780036144601
Germany,Laos,0.7446185057514719
Czechia,Czechia,0.7436113012427986
Taiwan,Myanmar,0.7411500453655361
Australia,Malaysia,0.7404758452080373
Republic of Korea,Colombia,0.7381502948345774
RoW Africa,Peru,0.7333266438103639
United States,Madagascar,0.7313268448865904
UK and RoW Europe,Nigeria,0.7246794849239706
Spain,Nigeria,0.7202619345511279
France,Cameroon,0.7126967581319398
France,Liberia,0.7070699938188872
Australia,Vietnam,0.7033749332171303
Spain,Zambia,0.7000233359480328
Canada,Myanmar,0.6974213852124903
Netherlands,Paraguay,0.6962217909038493
Italy,Zambia,0.695247624599612
Brazil,Honduras,0.6837154559712083
Germany,Nigeria,0.6809497803732645
India,Malaysia,0.6750929831251055
UK and RoW Europe,Peru,0.6727869489680836
Canada,Paraguay,0.659569686166598
Italy,Argentina,0.6595357715294866
Germany,Malaysia,0.6583201149007833
RoW Middle East,Mozambique,0.6558526218811381
Italy,Myanmar,0.6542950178340341
RoW Asia and Pacific,New Zealand,0.652469990003624
RoW Asia and Pacific,México,0.6519118787128564
India,Vietnam,0.6499183868256861
RoW Middle East,Laos,0.6429377782116874
Canada,Indonesia,0.6394890497780942
Germany,Vietnam,0.6383768051877343
Japan,Peru,0.6322658914970396
Italy,Ghana,0.6272065724543824
France,Argentina,0.6217954404559441
Poland,DR Congo,0.6201948975487888
Germany,India,0.6174979058291515
Germany,Russia,0.6151228234802611
México,Peru,0.6134418047817334
UK and RoW Europe,Laos,0.6107495677151547
RoW Asia and Pacific,Sri Lanka,0.605140364255103
Spain,Ghana,0.5993935318011394
United States,Australia,0.5985317940505331
Germany,Ghana,0.5973692963931673
México,Nicaragua,0.5913941903592999
Brazil,Venezuela,0.5850217414091752
India,Mozambique,0.5845752616093354
Italy,Mozambique,0.5792555517280753
RoW Asia and Pacific,Nigeria,0.5786642666491314
Japan,Papua New Guinea,0.5779672767150448
Japan,Russia,0.5751523939153134
RoW Asia and Pacific,Nepal,0.5740173297598776
UK and RoW Europe,India,0.5733354370254723
RoW Africa,Cambodia,0.5713915587885364
RoW Middle East,Malaysia,0.5699210368295493
Japan,Japan,0.5687424714783141
Russia,Cambodia,0.5673115649018838
UK and RoW Europe,Ghana,0.5670177773160512
RoW Middle East,Thailand,0.5654885962578258
Australia,Thailand,0.5647248077918813
Japan,DR Congo,0.5641828253387777
México,Argentina,0.5632596190783703
UK and RoW Europe,South Africa,0.5611378768117138
China,Tanzania,0.5610451070789907
Poland,Poland,0.5567622821163828
Indonesia,Cambodia,0.5555024601702621
RoW Middle East,Tanzania,0.5552614788600171
Germany,Zambia,0.5548475263736053
RoW America,Haiti,0.5530935872372331
China,Madagascar,0.5524711394668587
UK and RoW Europe,Bosnia and Herzegovina,0.5520955331814867
Spain,Peru,0.5467812800199907
Indonesia,Laos,0.5466580490536966
RoW Middle East,Vietnam,0.5440366765436726
India,Peru,0.5423114980719941
Turkey,DR Congo,0.5364454657117441
UK and RoW Europe,Malaysia,0.5353650136970776
RoW Asia and Pacific,Honduras,0.5287077464503
Slovakia,Brazil,0.5258717860985708
Netherlands,Indonesia,0.5245099923091133
China,Ukraine,0.5239140994421188
RoW America,DR Congo,0.5226493005803593
Turkey,Paraguay,0.522389454790506
Brazil,DR Congo,0.5213771742850974
UK and RoW Europe,Zambia,0.5194535909133758
RoW America,Cambodia,0.518567216190168
Italy,Peru,0.5140685896431176
Taiwan,Argentina,0.5135190429419868
UK and RoW Europe,Vietnam,0.5101345970289926
Brazil,Indonesia,0.509442288652726
UK and RoW Europe,Mozambique,0.5093090388600185
Ireland,Colombia,0.5080501418604174
RoW Asia and Pacific,Zambia,0.5069293864738744
RoW Middle East,Venezuela,0.5049354798919544
Netherlands,Angola,0.5039089262964908
France,Peru,0.5024127583944147
Slovenia,Brazil,0.5010426879911161
Spain,Mozambique,0.4996199298253132
RoW Middle East,Philippines,0.4989215516264622
France,Central African Republic,0.49745120049285785
Germany,Mozambique,0.4956370753885086
Italy,Italy,0.49418182191236615
RoW Middle East,Honduras,0.49395507178697373
RoW Asia and Pacific,Ghana,0.49211221622594004
India,Nigeria,0.4900758413067019
Japan,India,0.48608828837532964
United States,Liberia,0.4830755379095222
Belgium,Angola,0.481922002333557
United States,Cameroon,0.48122228711908616
RoW Asia and Pacific,Venezuela,0.4809375201565331
Belgium,Indonesia,0.4804202156964475
Indonesia,Malaysia,0.48019963514143504
South Africa,DR Congo,0.4764706515164384
United States,Cuba,0.4744258690634908
Turkey,Russia,0.4739505389970766
Australia,Philippines,0.47296786513693784
Indonesia,Vietnam,0.47055039978199054
Denmark,Bolivia,0.4705148041584104
Republic of Korea,Australia,0.4633003356507648
RoW Asia and Pacific,Canada,0.4629304216417081
Taiwan,Cambodia,0.45744486587337335
Turkey,Argentina,0.45715624757809376
RoW America,Guyana,0.45691566063617806
Turkey,Colombia,0.448666406762964
United States,Tanzania,0.44769215803385276
Republic of Korea,Republic of Korea,0.4444527861485956
Italy,Madagascar,0.4435221532804551
Russia,Angola,0.4421531679469405
RoW Africa,United States,0.44208821765517375
Germany,Thailand,0.44023589274438485
México,Indonesia,0.43988918309219754
Belgium,Paraguay,0.4373926090586203
Russia,Laos,0.43521866325972985
Republic of Korea,Laos,0.43210513946705076
France,Cambodia,0.4282714520428232
Germany,México,0.42807602277917806
Belgium,Colombia,0.4266322027263741
Netherlands,Argentina,0.4236994707449727
Germany,United States,0.4226970506935021
France,Gabon,0.4205966944033048
Indonesia,Paraguay,0.42012159668940324
Indonesia,Australia,0.419892063023344
France,Guinea,0.41888644101401823
RoW America,India,0.4164611250257352
Canada,Peru,0.4140752018654556
Canada,DR Congo,0.4139196698741971
India,Zambia,0.41353320207910294
Ireland,Paraguay,0.4134660955642728
Netherlands,Cambodia,0.4129052163413526
RoW Asia and Pacific,Mozambique,0.41137453277040753
Greece,Bolivia,0.4067713454273481
Spain,Myanmar,0.40538472526716224
Switzerland,DR Congo,0.4032694948636556
RoW Africa,Russia,0.4024713166278512
UK and RoW Europe,Madagascar,0.4013921886566001
Sweden,Myanmar,0.4008089150752908
RoW America,Laos,0.4007708527524386
South Africa,Bolivia,0.39963773620931403
Netherlands,Peru,0.39543671414029424
RoW Middle East,México,0.39371614869430055
China,Cuba,0.39268687841319677
India,Ghana,0.3923793421098754
RoW Middle East,Australia,0.39227837985642705
Switzerland,Myanmar,0.3919212061782891
Indonesia,Argentina,0.39099998371151073
Germany,Philippines,0.3898312824828231
Republic of Korea,Vietnam,0.388109123726295
UK and RoW Europe,Serbia and Montenegro,0.3870586724118676
Brazil,Guatemala,0.3870344638468288
Republic of Korea,Malaysia,0.38637388408762957
RoW Middle East,Madagascar,0.38332299340179005
Japan,China,0.3825640525361919
Russia,Malaysia,0.3815651875985518
India,Thailand,0.3792788330213702
Canada,Argentina,0.3777605971029046
Republic of Korea,Peru,0.37716413166443136
Taiwan,Peru,0.37682782323599057
France,Kenya,0.37600962125839965
Spain,Tanzania,0.37412326234606824
Republic of Korea,DR Congo,0.37370788187579834
Switzerland,Switzerland,0.3701705648661376
UK and RoW Europe,Thailand,0.36979311758663147
Russia,India,0.3697844040014472
Brazil,Myanmar,0.3697508367444175
Germany,Madagascar,0.3665504878240425
India,Philippines,0.36606736505310716
Turkey,Indonesia,0.3634506561277909
Australia,Papua New Guinea,0.3633067585263067
China,Cameroon,0.3629307844012738
Spain,Madagascar,0.361716377951322
Ireland,DR Congo,0.36000013368118844
Italy,Tanzania,0.3592709733615543
Russia,Vietnam,0.35924665772893893
UK and RoW Europe,México,0.3588941586411756
RoW America,Malaysia,0.3541176307602927
Poland,Angola,0.35299808893510953
Brazil,México,0.35164667624679163
Australia,Argentina,0.3513625475591816
China,Malawi,0.35085573479010895
Portugal,DR Congo,0.34562858057910206
RoW Africa,Rwanda,0.3449608923699198
Turkey,Myanmar,0.34488409726634484
RoW America,Vietnam,0.3448666472989348
Australia,Paraguay,0.34465158157114734
China,Liberia,0.3389892908802676
France,Republic of the Congo,0.33827208292670563
Germany,South Africa,0.3363997406088496
Poland,Paraguay,0.336084980082277
Republic of Korea,México,0.3356855467106852
United States,Central African Republic,0.33527143162833933
Germany,Tanzania,0.33497960710908836
UK and RoW Europe,Philippines,0.33492369673008593
UK and RoW Europe,Canada,0.33255410065729685
Canada,Cambodia,0.3306738118596022
Belgium,Argentina,0.3286913085991068
Republic of Korea,Thailand,0.3284817151008792
RoW Middle East,China,0.32747107725891705
RoW America,Dominican Republic,0.3236252874642125
RoW Middle East,Canada,0.32317927240719824
Norway,South Africa,0.32295478840290415
Japan,Angola,0.3225041596661662
India,Papua New Guinea,0.3217434077309708
France,India,0.321431174931933
Switzerland,Bolivia,0.3212932144210076
Republic of Korea,Russia,0.3179090462928298
Belgium,Cambodia,0.31783560852879755
RoW Asia and Pacific,Bhutan,0.3176019783118145
RoW Asia and Pacific,South Africa,0.31685126450377904
Poland,Argentina,0.3168006121289315
Italy,Cambodia,0.31604479740130287
France,Laos,0.313620957689572
Indonesia,Colombia,0.3134895074176338
RoW America,Angola,0.3113773930822322
Turkey,Angola,0.30851151724880743
Germany,Papua New Guinea,0.3083538779301633
Brazil,Angola,0.30770067611007795
Australia,Colombia,0.3068073347292797
United States,South Africa,0.3032530842274322
Germany,Honduras,0.302773268177584
Republic of Korea,Philippines,0.3021544343691393
Russia,Honduras,0.3003410587687301
Italy,Liberia,0.2995146076773828
RoW Asia and Pacific,Madagascar,0.2993216305008216
RoW Africa,Venezuela,0.29903571960165043
RoW Africa,Laos,0.29880630812032977
Italy,Cameroon,0.2980532164121095
Russia,Thailand,0.29398921385402804
South Africa,Zambia,0.29277813189529844
Taiwan,DR Congo,0.29095715548550727
Poland,Colombia,0.2908097490314894
RoW Asia and Pacific,Guatemala,0.2895506291947922
Belgium,Nigeria,0.2880378146660733
RoW Middle East,Guatemala,0.2843077930470497
México,DR Congo,0.2824795550045206
United States,Gabon,0.2813474952878288
Germany,Venezuela,0.2792108604537068
Brazil,Ecuador,0.2787958538024792
France,Malaysia,0.2776222443586349
United States,Guinea,0.27726254619005164
RoW Africa,Honduras,0.2766586877731579
Netherlands,Nigeria,0.2746579660889702
Netherlands,Ghana,0.2736573217628595
Germany,France,0.2731163991097684
Portugal,Bolivia,0.2724677717872404
South Africa,Angola,0.2715450982768236
RoW Middle East,Papua New Guinea,0.27085751835935773
Netherlands,Laos,0.2707953110571449
France,Canada,0.26985595732586265
RoW Middle East,Ukraine,0.26912297650702866
South Africa,Indonesia,0.2681374872839411
RoW Middle East,Cameroon,0.26783987132392656
France,Vietnam,0.26746392890597653
Spain,United States,0.26730492988082755
Belgium,Laos,0.2672704994735133
Brazil,Nicaragua,0.2671869946302981
Turkey,Peru,0.2655190920319662
Germany,Poland,0.2653897977027654
Australia,DR Congo,0.26481305760910284
Russia,Venezuela,0.2644549125561685
UK and RoW Europe,United States,0.26415928847775605
RoW Africa,Malaysia,0.2636813402817966
Russia,Philippines,0.2632074408032712
RoW Africa,Canada,0.2631746478829333
UK and RoW Europe,Cameroon,0.2626995467301993
India,Madagascar,0.2625693174635854
Sweden,Bolivia,0.26209023868080383
Norway,DR Congo,0.26144603902905017
India,Russia,0.26029395922861936
Indonesia,DR Congo,0.2576713988061185
RoW Asia and Pacific,Tanzania,0.25711819031619254
Austria,Bolivia,0.2568520564382688
France,Malawi,0.2566784102546843
South Africa,Argentina,0.2562383951530692
UK and RoW Europe,Papua New Guinea,0.2556528590559265
RoW Asia and Pacific,Kazakhstan,0.25455023495627704
RoW Africa,Vietnam,0.25397264338684084
Ireland,Peru,0.2524878509188334
UK and RoW Europe,Honduras,0.24995337244200166
Russia,Nigeria,0.24961417033605468
Denmark,Colombia,0.24956318851616216
China,Central African Republic,0.2493715611656564
United States,Kenya,0.24892769115580432
UK and RoW Europe,Tanzania,0.24846961926258673
RoW Asia and Pacific,Fiji,0.24813961139805413
Canada,Angola,0.2480100739781998
Poland,Myanmar,0.24799724372847168
Italy,Russia,0.2478622057376214
Germany,Cameroon,0.2461457162254436
India,Tanzania,0.24612234670986727
Italy,France,0.2459582235717949
Austria,DR Congo,0.2458028043829358
Spain,Cameroon,0.24540137758545316
Ireland,Argentina,0.2453257287040699
RoW Asia and Pacific,Nicaragua,0.24460575002577561
China,Panama,0.24451874978802907
India,Venezuela,0.24419666358000386
Bulgaria,Brazil,0.24336479996967086
Netherlands,Malaysia,0.24057399701192636
UK and RoW Europe,Liberia,0.2389144141105446
Italy,Canada,0.23878550685204072
Taiwan,Laos,0.23863871236638082
Spain,Liberia,0.2382803772916074
Croatia,Brazil,0.23810806986057084
Denmark,DR Congo,0.2378604668153905
Netherlands,Zambia,0.237792220074502
RoW Africa,Thailand,0.2371068819730678
Belgium,Malaysia,0.2367895648575717
Germany,Liberia,0.2358542222938475
China,Gabon,0.23563696443482327
México,Canada,0.23550490875611932
Japan,Honduras,0.23495717937208732
RoW Middle East,Liberia,0.23456855516975614
Netherlands,Vietnam,0.23246866096667226
Belgium,Vietnam,0.23196404536829007
RoW Middle East,Malawi,0.23075327301961368
Belgium,India,0.23035495784656068
México,Honduras,0.23001785262438548
Switzerland,Angola,0.23000429591635563
México,Myanmar,0.2299409383919746
Ireland,Angola,0.22949788809764504
Taiwan,Nicaragua,0.2288862035581985
United States,Republic of the Congo,0.22839776180115862
UK and RoW Europe,Venezuela,0.22818184961700044
France,Russia,0.22815805287671115
Belgium,Ghana,0.2277598012165249
Indonesia,Papua New Guinea,0.22734014347045986
RoW America,Thailand,0.22710814809960383
Indonesia,Thailand,0.22705244681951736
Taiwan,Vietnam,0.22687825721991095
Republic of Korea,Angola,0.2259240302753433
Germany,Canada,0.22516213927516252
Spain,Ukraine,0.22510480976447014
Spain,Cambodia,0.2217245753818494
RoW Asia and Pacific,Ecuador,0.21957616248043466
Japan,Nigeria,0.21876791541467655
Norway,Bolivia,0.218451732462256
RoW America,Russia,0.21667756728044696
RoW America,Jamaica,0.21609847994908166
Canada,Laos,0.21608610418618124
Denmark,Paraguay,0.21470387425332443
Belgium,Zambia,0.21425906095953567
RoW Middle East,Nicaragua,0.21413784532569746
UK and RoW Europe,Norway,0.21400680542995776
RoW America,China,0.21330870127254128
Ireland,Indonesia,0.21320410349807978
RoW Africa,Mali,0.2131049836760961
Japan,Zambia,0.2124113849439561
France,México,0.21222085607571559
Taiwan,Malaysia,0.21209324491184722
Italy,Laos,0.2093768350707163
United States,Malawi,0.20933451320426424
Republic of Korea,India,0.20796488633429808
Belgium,Peru,0.20775053944296995
China,Guinea,0.20765386595864987
RoW Africa,Philippines,0.20648337143061862
Japan,Venezuela,0.2063871193787407
Russia,Ghana,0.20607053933025807
Netherlands,Mozambique,0.20555541937774707
India,Honduras,0.20552108920595896
RoW Africa,China,0.2051454137083633
Italy,India,0.20507847506922242
UK and RoW Europe,United Kingdom,0.2047478361133632
Poland,Nigeria,0.20458422065982992
RoW Middle East,Ecuador,0.20413833632939285
RoW Africa,Togo,0.20406134848838484
Turkey,Nigeria,0.2036003475996491
Portugal,Angola,0.2025720247731735
Italy,Central African Republic,0.2018891283352858
RoW America,Canada,0.2014201046495116
